Rank,Ego_x,Leading_x,MitmAttackFmuInstance.step_size,LeadingCarInstance.simple_car.v0,FollowingAlgorithmInstance.eps,FollowingAlgorithmInstance.omega_n,LeadingCarInstance.simple_car.x0,FollowingCarInstance.v0,FollowingAlgorithmInstance.c1,MitmAttackFmuInstance.attack_time,MitmAttackFmuInstance.attack_value,FollowingCarInstance.x0
1,24987.5015,383.49577698,0.01,0,1,0.2,50,0,0.5,0,5,0
2,23166.6245788,383.49577698,0.01,0,1,0.2,50,0,0.5,5,5,0
3,21142.7235267,383.49577698,0.01,0,1,0.2,50,0,0.5,10,5,0
4,18543.3172364,383.49577698,0.01,0,1,0.2,50,0,0.5,15,5,0
5,16119.7173914,383.49577698,0.01,0,1,0.2,50,0,0.5,20,5,0
6,14451.9808954,383.49577698,0.01,0,1,0.2,50,0,0.5,25,5,0
7,12907.6414354,383.49577698,0.01,0,1,0.2,50,0,0.5,30,5,0
8,10957.3135261,383.49577698,0.01,0,1,0.2,50,0,0.5,35,5,0
9,9148.39583194,383.49577698,0.01,0,1,0.2,50,0,0.5,40,5,0
10,5129.92217882,383.49577698,0.01,0,1,0.2,50,0,0.5,5,1,0
11,4997.5003,383.49577698,0.01,0,1,0.2,50,0,0.5,0,1,0
12,4955.32112668,383.49577698,0.01,0,1,0.2,50,0,0.5,10,1,0
13,4105.21483638,383.49577698,0.01,0,1,0.2,50,0,0.5,15,1,0
14,3327.71619142,383.49577698,0.01,0,1,0.2,50,0,0.5,20,1,0
15,3209.47969544,383.49577698,0.01,0,1,0.2,50,0,0.5,25,1,0
16,3114.64023544,383.49577698,0.01,0,1,0.2,50,0,0.5,30,1,0
17,2513.8123261,383.49577698,0.01,0,1,0.2,50,0,0.5,35,1,0
18,1954.39463194,383.49577698,0.01,0,1,0.2,50,0,0.5,40,1,0
19,908.470526674,383.49577698,0.01,0,1,0.2,50,0,0.5,10,0,0
20,666.38993544,383.49577698,0.01,0,1,0.2,50,0,0.5,30,0,0
21,620.746578814,383.49577698,0.01,0,1,0.2,50,0,0.5,5,0,0
22,495.689236382,383.49577698,0.01,0,1,0.2,50,0,0.5,15,0,0
23,402.937026096,383.49577698,0.01,0,1,0.2,50,0,0.5,35,0,0
24,398.854395438,383.49577698,0.01,0,1,0.2,50,0,0.5,25,0,0
25,180.712338425,383.49577698,0.01,0,1,0.2,50,0,0.5,35,-1,0
26,180.072393075,383.49577698,0.01,0,1,0.2,50,0,0.5,40,-5,0
27,180.072393075,383.49577698,0.01,0,1,0.2,50,0,0.5,40,-1,0
28,180.072393075,383.49577698,0.01,0,1,0.2,50,0,0.5,40,0,0
29,175.769594032,383.49577698,0.01,0,1,0.2,50,0,0.5,35,-5,0
30,172.311954259,383.49577698,0.01,0,1,0.2,50,0,0.5,30,-1,0
31,150.061813699,383.49577698,0.01,0,1,0.2,50,0,0.5,30,-5,0
32,129.715891419,383.49577698,0.01,0,1,0.2,50,0,0.5,20,0,0
33,120.999575611,383.49577698,0.01,0,1,0.2,50,0,0.5,25,-1,0
34,115.216321821,383.49577698,0.01,0,1,0.2,50,0,0.5,25,-5,0
35,107.552987959,383.49577698,0.01,0,1,0.2,50,0,0.5,15,-1,0
36,106.275494351,383.49577698,0.01,0,1,0.2,50,0,0.5,20,-1,0
37,106.24102177,383.49577698,0.01,0,1,0.2,50,0,0.5,20,-5,0
38,103.27200679,383.49577698,0.01,0,1,0.2,50,0,0.5,10,-1,0
39,98.7242133971,383.49577698,0.01,0,1,0.2,50,0,0.5,15,-5,0
40,67.5810026878,383.49577698,0.01,0,1,0.2,50,0,0.5,10,-5,0
41,36.4053803167,383.49577698,0.01,0,1,0.2,50,0,0.5,5,-1,0
42,20.1917657981,383.49577698,0.01,0,1,0.2,50,0,0.5,5,-5,0
43,0.0,383.49577698,0.01,0,1,0.2,50,0,0.5,0,-5,0
44,0.0,383.49577698,0.01,0,1,0.2,50,0,0.5,0,-1,0
45,0.0,383.49577698,0.01,0,1,0.2,50,0,0.5,0,0,0
